,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
0,The Social Dilemma,7.8,78,"29,408",1h 34min,9 September 2020 (USA),Jeff Orlowski
1,The Vow,7.6,N/A,770,N/A,TV Series (2020– ),Anthony Ames
2,RBG,7.6,71,"11,256",1h 38min,26 July 2018 (Australia),Julie Cohen
3,Challenger: The Final Flight,8.0,N/A,"2,367",2h 59min,TV Mini-Series (2020),Steven Leckart
4,Kiss the Ground,8.3,N/A,"1,485",1h 24min,April 2020 (USA),Joshua Tickell
5,The Last Dance,9.2,N/A,"67,494",8h 11min,TV Mini-Series (2020),Phil Jackson
6,All or Nothing: Tottenham Hotspur,8.3,N/A,"2,351",N/A,TV Series (2020– ),Tom Hardy
7,Agents of Chaos,6.5,N/A,284,N/A,TV Mini-Series (2020– ),Andrew Weissmann
8,Cosmos: Possible Worlds,9.2,N/A,"3,396",45min,TV Mini-Series (2020– ),Neil deGrasse Tyson
9,The Playbook,7.4,N/A,284,N/A,TV Series (2020),Jill Ellis
10,Tiger King,7.6,N/A,"61,154",5h 17min,TV Mini-Series (2020),John Reinke
11,Love Fraud,6.2,N/A,322,3h 20min,TV Mini-Series (2020),Jason Herrell
12,Class Action Park,7.0,69,"1,892",1h 30min,27 August 2020 (USA),Seth Porges
13,A Wilderness of Error,6.6,N/A,76,N/A,TV Mini-Series (2020– ),Clay Boulware
14,Planet Earth II,9.5,N/A,"92,027",4h 58min,TV Mini-Series (2016),David Attenborough
15,All In: The Fight for Democracy,5.7,78,675,1h 42min,18 September 2020 (USA),Lisa Cortes
16,Cosmos: A Spacetime Odyssey,9.3,N/A,"108,063",9h 17min,TV Mini-Series (2014),Neil deGrasse Tyson
17,Alone,8.4,N/A,"2,924",44min,TV Series (2015– ),Nicole Apelian
18,I'll Be Gone in the Dark,7.4,N/A,"3,550",5h 53min,TV Mini-Series (2020),Patton Oswalt
19,Hot Girls Wanted,6.1,N/A,"15,528",1h 24min,29 May 2015 (USA),Jill Bauer
20,The Curse of Oak Island,7.1,N/A,"3,977",1h,TV Series (2014– ),Kevin Burns
21,The Great Hack,7.0,N/A,"18,751",1h 54min,24 July 2019 (USA),Karim Amer
22,Ancient Aliens,7.3,N/A,"9,203",42min,TV Series (2009– ),Robert Clotworthy
23,Ghost Adventures,7.5,N/A,"7,902",45min,TV Series (2008– ),Zak Bagans
24,Roman Empire,6.9,N/A,"5,252",48min,TV Series (2016– ),Aaron Irvin
