,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
0,Bowling for Columbine,7.9,72,"138,833",2h,15 November 2002 (USA),Michael Moore
1,Fahrenheit 9/11,7.5,67,"125,629",2h 2min,25 June 2004 (USA),Michael Moore
2,Super Size Me,7.2,73,"100,146",1h 40min,11 June 2004 (USA),Morgan Spurlock
3,Jackass: The Movie,6.6,N/A,"80,546",1h 27min,25 October 2002 (USA),Jeff Tremaine
4,An Inconvenient Truth,7.4,75,"79,832",1h 36min,30 June 2006 (USA),Davis Guggenheim
5,Justin Bieber: Never Say Never,1.6,N/A,"75,071",1h 45min,11 February 2011 (USA),Jon M. Chu
6,Sicko,7.9,74,"73,259",2h 3min,3 July 2007 (USA),Michael Moore
7,Inside Job,8.2,88,"68,530",1h 49min,12 November 2010 (USA),Charles Ferguson
8,Jackass Number Two,7.0,66,"65,805",1h 32min,22 September 2006 (USA),Jeff Tremaine
9,Searching for Sugar Man,8.2,79,"62,884",1h 26min,26 July 2012 (UK),Malik Bendjelloul
10,Senna,8.5,79,"62,630",1h 46min,25 May 2011 (France),Asif Kapadia
11,Exit Through the Gift Shop,8.0,85,"61,670",1h 27min,14 May 2010 (USA),Banksy
12,Blackfish,8.1,83,"60,899",1h 23min,26 July 2013 (Ireland),Gabriela Cowperthwaite
13,Religulous,7.6,N/A,"57,066",1h 41min,3 October 2008 (USA),Larry Charles
14,Jackass 3D,7.0,N/A,"56,104",1h 34min,15 October 2010 (USA),Jeff Tremaine
15,March of the Penguins,7.5,79,"55,375",1h 20min,22 July 2005 (USA),Luc Jacquet
16,Waltz with Bashir,8.0,91,"54,514",1h 30min,12 June 2008 (Israel),Ari Folman
17,Grizzly Man,7.8,87,"52,179",1h 43min,27 October 2005 (Portugal),Werner Herzog
18,Man on Wire,7.7,89,"52,023",1h 34min,29 August 2008 (USA),James Marsh
19,Citizenfour,8.0,88,"51,546",1h 54min,28 November 2014 (USA),Laura Poitras
20,Free Solo,8.2,83,"51,388",1h 40min,13 December 2018 (New Zealand),Jimmy Chin
21,"Food, Inc.",7.8,80,"49,069",1h 34min,31 July 2009 (USA),Robert Kenner
22,Zeitgeist,8.1,N/A,"47,790",1h 58min,Video 1 June 2007,Peter Joseph
23,Amy,7.8,85,"47,767",2h 8min,3 July 2015 (USA),Asif Kapadia
24,The Cove,8.4,84,"46,897",1h 32min,7 August 2009 (USA),Louie Psihoyos
25,The Imposter,7.5,77,"44,629",1h 39min,24 August 2012 (UK),Bart Layton
26,CM101MMXI Fundamentals,9.2,N/A,"43,492",2h 19min,3 January 2013 (Turkey),Murat Dündar
27,Capitalism: A Love Story,7.4,61,"40,869",2h 7min,2 October 2009 (USA),Michael Moore
28,Catfish,7.1,65,"40,543",1h 27min,1 October 2010 (USA),Henry Joost
29,This Is It,7.2,67,"38,161",1h 51min,28 October 2009 (USA),Kenny Ortega
30,Icarus,7.9,68,"37,294",2h,4 August 2017 (USA),Bryan Fogel
31,Going Clear: Scientology & the Prison of Belief,8.0,80,"36,448",1h 59min,25 June 2015 (Italy),Alex Gibney
