,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Release_Difference,CBS Films,Focus Features,IDP Distribution,IMAX,Lionsgate,National Geographic Entertainment,Neon,Other,Overture Films,Paramount Classics,Paramount Pictures,Sony Pictures Entertainment (SPE),United Artists,Walt Disney Studios Motion Pictures,Warner Bros.,Warner Independent Pictures (WIP)
0,1,Fahrenheit 9/11,119194771,2011.0,23920637.0,868.0,7.5,67.0,125629,8475.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,March of the Penguins,77437223,2506.0,137492.0,4.0,7.5,79.0,55375,8841.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,This Is It,72091016,3481.0,23234394.0,3481.0,7.2,67.0,38161,10428.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,5,Under the Sea 3D,36262926,108.0,661185.0,49.0,7.5,77.0,1730,10171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,7,Earth,32011576,1804.0,8825760.0,1804.0,8.0,72.0,14137,10239.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,10,Born to Be Wild,25978556,208.0,871478.0,206.0,7.6,66.0,2930,10955.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,12,Sicko,24540079,1117.0,68969.0,1.0,7.9,74.0,73259,9569.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,13,An Inconvenient Truth,24146161,587.0,281330.0,4.0,7.4,75.0,79832,9175.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,14,Won't You Be My Neighbor?,22835787,893.0,475419.0,29.0,8.4,85.0,22152,13573.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,15,Bowling for Columbine,21576018,248.0,209148.0,8.0,7.9,72.0,138833,7854.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,18,Bears,17780194,1790.0,4776267.0,1720.0,7.4,68.0,6404,12061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,19,Free Solo,17541090,483.0,294288.0,4.0,8.2,83.0,51388,13685.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,20,Monkey Kingdom,16432322,2012.0,4577861.0,2012.0,7.3,72.0,3674,12425.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,21,A Beautiful Planet,15650615,155.0,223983.0,137.0,7.4,75.0,1130,12803.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,22,African Cats,15428747,1224.0,6003200.0,1220.0,7.6,61.0,6141,10969.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,26,Capitalism: A Love Story,14363397,995.0,231964.0,4.0,7.4,61.0,40869,10393.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,27,RBG,14017361,432.0,578470.0,34.0,7.6,71.0,11280,13538.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,31,Three Identical Strangers,12320845,433.0,171503.0,5.0,7.7,81.0,24343,13594.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,32,Super Size Me,11536423,230.0,516641.0,41.0,7.2,73.0,100146,8428.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,34,Winged Migration,10764402,202.0,33128.0,1.0,7.9,82.0,11435,8043.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,36,Amy,8413144,435.0,222500.0,6.0,7.8,85.0,47767,12502.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,37,Mad Hot Ballroom,8117961,202.0,45348.0,2.0,7.3,71.0,3353,8799.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,39,Hoop Dreams,7830611,262.0,18396.0,3.0,8.3,98.0,24023,4935.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,41,Tupac: Resurrection,7718961,804.0,4632847.0,801.0,7.9,66.0,8928,8253.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,42,Penguins,7699452,1815.0,2282593.0,1815.0,7.0,69.0,1276,13886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,46,I Am Not Your Negro,7123919,320.0,686378.0,43.0,7.9,95.0,18686,13083.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,47,Roger & Me,6706368,265.0,80253.0,4.0,7.4,70.0,25414,3178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,48,Waiting for 'Superman',6417135,330.0,139033.0,4.0,7.5,81.0,10599,10759.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,49,The Aristocrats,6377461,234.0,243796.0,4.0,6.4,72.0,15909,8876.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,50,Fahrenheit 11/9,6352306,1719.0,3008563.0,1719.0,7.0,69.0,16996,13678.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,54,Spellbound,5728581,117.0,17508.0,1.0,7.5,80.0,11812,8055.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,56,Shine a Light,5505267,277.0,1488081.0,276.0,7.2,76.0,10990,9856.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
