,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,Distributor,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Running_Time,Director,Release_Difference
0,1,Fahrenheit 9/11,119194771,2011.0,23920637.0,868.0,Lionsgate,7.5,67.0,125629,2h 2min,Michael Moore,8475.0
1,2,March of the Penguins,77437223,2506.0,137492.0,4.0,Warner Independent Pictures (WIP),7.5,79.0,55375,1h 20min,Luc Jacquet,8841.0
2,3,Justin Bieber: Never Say Never,73013910,3118.0,29514054.0,3105.0,Paramount Pictures,1.6,,75071,1h 45min,Jon M. Chu,10899.0
3,4,This Is It,72091016,3481.0,23234394.0,3481.0,Sony Pictures Entertainment (SPE),7.2,67.0,38161,1h 51min,Kenny Ortega,10428.0
4,5,Under the Sea 3D,36262926,108.0,661185.0,49.0,Warner Bros.,7.5,77.0,1730,41min,Howard Hall,10171.0
5,6,2016: Obama's America,33449086,2017.0,31610.0,1.0,Rocky Mountain Pictures,5.0,,10313,1h 27min,Dinesh D'Souza,11417.0
6,7,Earth,32011576,1804.0,8825760.0,1804.0,Walt Disney Studios Motion Pictures,8.0,72.0,14137,1h 30min,Alastair Fothergill,10239.0
7,8,Chimpanzee,28972764,1567.0,10673748.0,1563.0,Walt Disney Studios Motion Pictures,7.2,,5851,1h 18min,Alastair Fothergill,11333.0
8,9,One Direction: This Is Us,28873374,2735.0,15815497.0,2735.0,TriStar Pictures,4.2,,23365,1h 32min,Morgan Spurlock,11830.0
9,10,Born to Be Wild,25978556,208.0,871478.0,206.0,Warner Bros.,7.6,66.0,2930,40min,David Lickley,10955.0
10,11,Katy Perry: Part of Me,25326071,2732.0,7138266.0,2730.0,Paramount Pictures,5.9,,13275,1h 33min,Dan Cutforth,11409.0
11,12,Sicko,24540079,1117.0,68969.0,1.0,Lionsgate,7.9,74.0,73259,2h 3min,Michael Moore,9569.0
12,13,An Inconvenient Truth,24146161,587.0,281330.0,4.0,Paramount Classics,7.4,75.0,79832,1h 36min,Davis Guggenheim,9175.0
13,14,Won't You Be My Neighbor?,22835787,893.0,475419.0,29.0,Focus Features,8.4,85.0,22152,1h 35min,Morgan Neville,13573.0
14,15,Bowling for Columbine,21576018,248.0,209148.0,8.0,United Artists,7.9,72.0,138833,2h,Michael Moore,7854.0
15,17,They Shall Not Grow Old,17956913,1335.0,,,Warner Bros.,8.3,91.0,27415,1h 39min,Peter Jackson,13765.0
16,18,Bears,17780194,1790.0,4776267.0,1720.0,Walt Disney Studios Motion Pictures,7.4,68.0,6404,1h 18min,Alastair Fothergill,12061.0
17,19,Free Solo,17541090,483.0,294288.0,4.0,National Geographic Entertainment,8.2,83.0,51388,1h 40min,Jimmy Chin,13685.0
18,20,Monkey Kingdom,16432322,2012.0,4577861.0,2012.0,Walt Disney Studios Motion Pictures,7.3,72.0,3674,1h 21min,Mark Linfield,12425.0
19,21,A Beautiful Planet,15650615,155.0,223983.0,137.0,IMAX,7.4,75.0,1130,46min,Toni Myers,12803.0
20,22,African Cats,15428747,1224.0,6003200.0,1220.0,Walt Disney Studios Motion Pictures,7.6,61.0,6141,1h 29min,Keith Scholey,10969.0
21,23,Madonna: Truth or Dare,15012935,652.0,543250.0,51.0,Miramax,6.4,,8624,2h,Alek Keshishian,3682.0
22,24,To the Arctic 3D,14560838,52.0,270228.0,50.0,Warner Bros.,6.5,,1033,40min,Greg MacGillivray,11333.0
23,25,America: Imagine the World Without Her,14444502,1105.0,38608.0,3.0,Lionsgate,5.4,,6481,1h 45min,Dinesh D'Souza,12131.0
24,26,Capitalism: A Love Story,14363397,995.0,231964.0,4.0,Overture Films,7.4,61.0,40869,2h 7min,Michael Moore,10393.0
25,27,RBG,14017361,432.0,578470.0,34.0,Magnolia Pictures,7.6,71.0,11280,1h 38min,Julie Cohen,13538.0
26,28,Born in China,13873211,1508.0,4790367.0,1508.0,Walt Disney Studios Motion Pictures,7.2,,3451,1h 19min,Chuan Lu,13160.0
27,29,Hillary's America: The Secret History of the Democratic Party,13099931,1217.0,74814.0,3.0,-,5.3,,6666,1h 46min,Dinesh D'Souza,12880.0
28,30,Religulous,13011160,568.0,3409643.0,502.0,Lionsgate,7.6,,57066,1h 41min,Larry Charles,10036.0
29,31,Three Identical Strangers,12320845,433.0,171503.0,5.0,Neon,7.7,81.0,24343,1h 36min,Tim Wardle,13594.0
30,32,Super Size Me,11536423,230.0,516641.0,41.0,IDP Distribution,7.2,73.0,100146,1h 40min,Morgan Spurlock,8428.0
31,34,Winged Migration,10764402,202.0,33128.0,1.0,Sony Pictures Classics,7.9,82.0,11435,1h 29min,Jacques Perrin,8043.0
