,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX,Rank_MOJO,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes,Running Time,Release Date_IMDB,Director,User Rating-TD,Year_TD,Category
0,,,Printing Out the World,,,,,,,,,,,,,,,,,7.77,2019,Technology
1,,,The Big Reset 2.0,,,,,,,,,,,,,,,,,7.33,2020,Technology
2,,,AlphaGo,,,,,,,,,,,7.9,,"4,697",1h 30min,29 September 2017 (USA),Greg Kohs,8.06,2017,Technology
3,,,Charlie and the Humans,,,,,,,,,,,,,,,,,7.38,2019,Technology
4,,,Into the Unknown,,,,,,,,,,,,,,,,,8.40,2016,Technology
5,,,Space Shuttle: The Human Time Bomb,,,,,,,,,,,,,,,,,8.12,2003,Technology
6,,,The Great Leap Forward,,,,,,,,,,,,,,,,,7.83,2019,Technology
7,,,Qantas Flight 72,,,,,,,,,,,,,,,,,7.57,2019,Technology
8,,,Apollo's New Moon,,,,,,,,,,,,,,,,,8.20,2019,Technology
9,,,Machine Learning: Living in the Age of AI,,,,,,,,,,,,,,,,,7.60,2019,Technology
10,,,Omnipotent Amazon,,,,,,,,,,,,,,,,,7.54,2018,Technology
11,,,A Charged Business: The Future of Electric Transport,,,,,,,,,,,,,,,,,6.67,2019,Technology
12,,,Plugged In : The True Toxicity of Social Media Revealed,,,,,,,,,,,,,,,,,7.83,2019,Technology
13,,,Nothing to Hide,,,,,,,,,,,,,,,,,7.88,2017,Technology
14,,,TempleOS,,,,,,,,,,,,,,,,,7.83,2018,Technology
15,,,The Story of Tetris,,,,,,,,,,,,,,,,,7.94,2018,Technology
16,,,Slave to the Algorithm,,,,,,,,,,,,,,,,,7.87,2018,Technology
17,,,Bitcoin: Beyond the Bubble,,,,,,,,,,,,,,,,,8.41,2018,Technology
18,,,"Humans, Gods and Technology",,,,,,,,,,,,,,,,,6.60,2017,Technology
19,,,Stare Into the Lights My Pretties,,,,,,,,,,,,,,,,,8.44,2017,Technology
20,,,The Bitcoin Psyop,,,,,,,,,,,,,,,,,7.51,2017,Technology
21,,,Interstellar Empires,,,,,,,,,,,,,,,,,6.33,2017,Technology
22,,,Making the Future,,,,,,,,,,,,,,,,,7.60,2014,Technology
23,,,Big Data: The Shell Investigation,,,,,,,,,,,,,,,,,6.81,2013,Technology
24,,,"YouTube, YouTubers and You",,,,,,,,,,,,,,,,,5.31,2017,Technology
25,,,A Future of Abundance,,,,,,,,,,,,,,,,,8.49,2013,Technology
26,,,Samurai Sword: Making of a Legend,,,,,,,,,,,,,,,,,8.65,2006,Technology
27,,,The World's Future Megaprojects,,,,,,,,,,,,,,,,,6.89,2017,Technology
28,,,Bye Bye Car,,,,,,,,,,,,,,,,,7.98,2014,Technology
29,,,World's Smart Cities: San Diego,,,,,,,,,,,,,,,,,7.23,2015,Technology
30,,,The Bureau of Digital Sabotage,,,,,,,,,,,,,,,,,8.49,2014,Technology
31,,,Space Invaders,,,,,,,,,,,,,,,,,8.17,2017,Technology
32,,,The Value of Your Personal Data,,,,,,,,,,,,,,,,,8.95,2013,Technology
33,,,Horizon Zero Dawn: The Making of a Game,,,,,,,,,,,,,,,,,7.04,2017,Technology
34,,,RuneScape: 15 Years of Adventure,,,,,,,,,,,,,,,,,7.23,2017,Technology
35,,,A Smarter Gun,,,,,,,,,,,,,,,,,7.50,2017,Technology
36,,,"Inside Russia's Creepy, Innovative Internet",,,,,,,,,,,,,,,,,6.98,2016,Technology
37,,,Holy Land: Startup Nations,,,,,,,,,,,,,,,,,6.02,2017,Technology
38,,,DOOM Resurrected,,,,,,,,,,,,,,,,,7.75,2016,Technology
39,,,What Makes You Click,,,,,,,,,,,,,,,,,7.89,2016,Technology
40,,,Pyramids,,,,,,,,,,,,,,,,,7.36,2006,Technology
41,,,Shenzhen: The Silicon Valley of Hardware,,,,,,,,,,,,,,,,,8.59,2016,Technology
42,,,The Haystack,,,,,,,,,,,,,,,,,6.83,2016,Technology
43,,,The Hacker Wars,,,,"1,937","$3,470",1,"$2,958",1,"Oct 17, 2014",Vitagraph Films,,,,,,,8.10,2014,Technology
44,,,Offline is the New Luxury,,,,,,,,,,,,,,,,,8.42,2016,Technology
45,,,State of Surveillance,,,,,,,,,,,,,,,,,8.62,2016,Technology
46,,,Thorium: The NASA Story,,,,,,,,,,,,,,,,,8.60,2016,Technology
47,,,The Most Dangerous Town on the Internet,,,,,,,,,,,,,,,,,7.57,2015,Technology
48,,,Battery Powered Homes,,,,,,,,,,,,,,,,,8.25,2016,Technology
49,,,The World in 50 Years: Global Community,,,,,,,,,,,,,,,,,6.23,2007,Technology
50,,,The Perfect Human Being,,,,,,,,,,,,,,,,,6.52,2015,Technology
51,,,Cyberbullies: A Killer Network,,,,,,,,,,,,,,,,,6.67,2016,Technology
52,,,The End of Ownership,,,,,,,,,,,,,,,,,8.59,2015,Technology
53,,,The Smart State,,,,,,,,,,,,,,,,,8.68,2015,Technology
54,"1,109",2016,Zero Days,"$111,904","$109,649","$2,255",776,"$109,649",20,"$49,110",18,"Jul 8, 2016",Magnolia Pictures,7.8,77.0,"8,678",1h 56min,8 July 2016 (USA),Alex Gibney,8.51,2015,Technology
55,,,The Human Robot,,,,,,,,,,,,,,,,,7.36,2015,Technology
56,,,Cybertopia: Dreams of Silicon Valley,,,,,,,,,,,,,,,,,7.33,2015,Technology
57,,,Broken Dreams: The Boeing 787,,,,,,,,,,,,,,,,,8.41,2014,Technology
58,,,Inhuman Kind,,,,,,,,,,,,,,,,,8.03,2015,Technology
59,,,The Age of Hubble,,,,,,,,,,,,,,,,,9.07,2014,Technology
60,,,A Brief History of Graphics,,,,,,,,,,,,,,,,,8.83,2014,Technology
61,,,The Digital Love Industry,,,,,,,,,,,,,,,,,7.02,2014,Technology
62,,,World of Warcraft: Looking for Group,,,,,,,,,,,,,,,,,8.28,2014,Technology
63,,,The Camera that Changed the World,,,,,,,,,,,,,,,,,8.81,2011,Technology
64,,,Inside the Dark Web,,,,,,,,,,,,,,,,,8.48,2014,Technology
65,,,Digital Amnesia,,,,,,,,,,,,,,,,,8.98,2014,Technology
66,,,Still Life,,,,,,,,,,,,,,,,,8.97,2014,Technology
