,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
0,1,Fahrenheit 9/11,"$119,194,771","2,011","$23,920,637",868,"Jun 23, 2004",Lionsgate,7.5,67.0,"125,629",2h 2min,25 June 2004 (USA),Michael Moore
1,2,March of the Penguins,"$77,437,223","2,506","$137,492",4,"Jun 24, 2005",Warner Independent Pictures (WIP),7.5,79.0,"55,375",1h 20min,22 July 2005 (USA),Luc Jacquet
2,3,Justin Bieber: Never Say Never,"$73,013,910","3,118","$29,514,054","3,105","Feb 11, 2011",Paramount Pictures,1.6,,"75,071",1h 45min,11 February 2011 (USA),Jon M. Chu
3,4,This Is It,"$72,091,016","3,481","$23,234,394","3,481","Oct 28, 2009",Sony Pictures Entertainment (SPE),7.2,67.0,"38,161",1h 51min,28 October 2009 (USA),Kenny Ortega
4,5,Under the Sea 3D,"$36,262,926",108,"$661,185",49,"Feb 13, 2009",Warner Bros.,7.5,77.0,"1,730",41min,13 February 2009 (USA),Howard Hall
5,6,2016: Obama's America,"$33,449,086","2,017","$31,610",1,"Jul 13, 2012",Rocky Mountain Pictures,5.0,,"10,313",1h 27min,24 August 2012 (USA),Dinesh D'Souza
6,7,Earth,"$32,011,576","1,804","$8,825,760","1,804","Apr 22, 2009",Walt Disney Studios Motion Pictures,8.0,72.0,"14,137",1h 30min,22 April 2009 (USA),Alastair Fothergill
7,8,Chimpanzee,"$28,972,764","1,567","$10,673,748","1,563","Apr 20, 2012",Walt Disney Studios Motion Pictures,7.2,,"5,851",1h 18min,20 April 2012 (USA),Alastair Fothergill
8,9,One Direction: This Is Us,"$28,873,374","2,735","$15,815,497","2,735","Aug 30, 2013",TriStar Pictures,4.2,,"23,365",1h 32min,30 August 2013 (USA),Morgan Spurlock
9,10,Born to Be Wild,"$25,978,556",208,"$871,478",206,"Apr 8, 2011",Warner Bros.,7.6,66.0,"2,930",40min,8 April 2011 (USA),David Lickley
10,11,Katy Perry: Part of Me,"$25,326,071","2,732","$7,138,266","2,730","Jul 5, 2012",Paramount Pictures,5.9,,"13,275",1h 33min,5 July 2012 (USA),Dan Cutforth
11,12,Sicko,"$24,540,079","1,117","$68,969",1,"Jun 22, 2007",Lionsgate,7.9,74.0,"73,259",2h 3min,3 July 2007 (USA),Michael Moore
